I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
-233.305664,-232.783813,26.916273,26.916199,234.310913,0.000000,0.000000,0.000000,0.000000,0.000000
-235.261230,-234.799805,24.970985,24.970858,236.178589,0.000000,0.000000,0.000000,0.000000,0.000000
-237.041016,-236.618042,23.007149,23.007076,237.848511,0.000000,0.000000,0.000000,0.000000,0.000000
-238.590088,-238.227539,21.025799,21.025608,239.260254,0.000000,0.000000,0.000000,0.000000,0.000000
-239.913940,-239.589844,19.028418,19.028698,240.501709,0.000000,0.000000,0.000000,0.000000,0.000000
-241.029053,-240.765381,17.016146,17.016232,241.501465,0.000000,0.000000,0.000000,0.000000,0.000000
-241.907959,-241.710205,14.990434,14.990265,242.237549,0.000000,0.000000,0.000000,0.000000,0.000000
-242.501221,-242.374878,12.952527,12.952579,242.704468,0.000000,0.000000,0.000000,0.000000,0.000000
-242.852783,-242.786865,10.903758,10.903695,242.946167,0.000000,0.000000,0.000000,0.000000,0.000000
-242.984619,-242.968140,8.845476,8.845693,242.990112,0.000000,0.000000,0.000000,0.000000,0.000000
-242.929688,-242.962646,6.778969,6.778999,242.825317,0.000000,0.000000,0.000000,0.000000,0.000000
-242.698975,-242.764893,4.705761,4.705704,242.528687,0.000000,0.000000,0.000000,0.000000,0.000000
-242.325439,-242.429810,2.627166,2.627146,242.094727,0.000000,0.000000,0.000000,0.000000,0.000000
-241.842041,-241.973877,0.544504,0.544508,241.561890,0.000000,0.000000,0.000000,0.000000,0.000000
-241.270752,-241.419067,-1.540587,-1.540563,240.974121,0.000000,0.000000,0.000000,0.000000,0.000000
-240.655518,-240.814819,-3.626993,-3.626968,240.325928,0.000000,0.000000,0.000000,0.000000,0.000000
-239.996338,-240.166626,-5.713060,-5.713026,239.650269,0.000000,0.000000,0.000000,0.000000,0.000000
-239.309692,-239.474487,-7.797357,-7.797242,238.963623,0.000000,0.000000,0.000000,0.000000,0.000000
-238.612061,-238.793335,-9.878593,-9.878487,238.255005,0.000000,0.000000,0.000000,0.000000,0.000000
-237.870483,-238.068237,-11.955324,-11.955466,237.469482,0.000000,0.000000,0.000000,0.000000,0.000000
-237.068481,-237.271729,-14.026024,-14.026044,236.678467,0.000000,0.000000,0.000000,0.000000,0.000000
-236.260986,-236.475220,-16.089092,-16.089161,235.832520,0.000000,0.000000,0.000000,0.000000,0.000000
-235.393066,-235.612793,-18.143293,-18.143333,234.964600,0.000000,0.000000,0.000000,0.000000,0.000000
-234.519653,-234.744873,-20.187101,-20.187040,234.041748,0.000000,0.000000,0.000000,0.000000,0.000000
-233.541870,-233.794556,-22.219055,-22.219109,233.036499,0.000000,0.000000,0.000000,0.000000,0.000000
-232.509155,-232.772827,-24.237774,-24.237404,231.976318,0.000000,0.000000,0.000000,0.000000,0.000000
-231.443481,-231.707153,-26.241438,-26.241568,230.905151,0.000000,0.000000,0.000000,0.000000,0.000000
-230.366821,-230.635986,-28.228966,-28.228760,229.806519,0.000000,0.000000,0.000000,0.000000,0.000000
-229.213257,-229.520874,-30.198690,-30.198660,228.587036,0.000000,0.000000,0.000000,0.000000,0.000000
-227.960815,-228.268433,-32.149387,-32.149387,227.340088,0.000000,0.000000,0.000000,0.000000,0.000000
-226.697388,-227.021484,-34.079479,-34.079407,226.098633,0.000000,0.000000,0.000000,0.000000,0.000000
-225.494385,-225.812988,-35.987675,-35.987453,224.846191,0.000000,0.000000,0.000000,0.000000,0.000000
-224.176025,-224.511108,-37.872551,-37.872269,223.505859,0.000000,0.000000,0.000000,0.000000,0.000000
-222.841187,-223.165283,-39.732433,-39.732765,222.138062,0.000000,0.000000,0.000000,0.000000,0.000000
-221.434937,-221.791992,-41.566254,-41.566380,220.715332,0.000000,0.000000,0.000000,0.000000,0.000000
-219.990234,-220.358276,-43.372490,-43.372822,219.243164,0.000000,0.000000,0.000000,0.000000,0.000000
-218.496094,-218.869629,-45.149696,-45.149605,217.743530,0.000000,0.000000,0.000000,0.000000,0.000000
-216.979980,-217.364502,-46.896648,-46.897438,216.183472,0.000000,0.000000,0.000000,0.000000,0.000000
-215.364990,-215.776978,-48.611927,-48.611931,214.546509,0.000000,0.000000,0.000000,0.000000,0.000000
-213.739014,-214.134521,-50.294147,-50.294724,212.926025,0.000000,0.000000,0.000000,0.000000,0.000000
-212.102051,-212.519531,-51.942055,-51.941578,211.267090,0.000000,0.000000,0.000000,0.000000,0.000000
-210.426636,-210.844116,-53.554405,-53.554184,209.597168,0.000000,0.000000,0.000000,0.000000,0.000000
-208.767700,-209.179688,-55.129875,-55.129181,207.899780,0.000000,0.000000,0.000000,0.000000,0.000000
-206.982422,-207.443848,-56.667194,-56.667385,206.059570,0.000000,0.000000,0.000000,0.000000,0.000000
-205.120239,-205.587158,-58.165096,-58.165482,204.180908,0.000000,0.000000,0.000000,0.000000,0.000000
-203.214111,-203.703003,-59.622406,-59.622276,202.241821,0.000000,0.000000,0.000000,0.000000,0.000000
-201.253052,-201.747437,-61.037994,-61.037685,200.280762,0.000000,0.000000,0.000000,0.000000,0.000000
-199.308472,-199.797363,-62.410641,-62.410446,198.303223,0.000000,0.000000,0.000000,0.000000,0.000000
-197.265015,-197.786865,-63.739166,-63.738388,196.232300,0.000000,0.000000,0.000000,0.000000,0.000000
-195.199585,-195.721436,-65.022552,-65.022354,194.128418,0.000000,0.000000,0.000000,0.000000,0.000000
-193.035278,-193.584595,-66.259598,-66.259438,191.942139,0.000000,0.000000,0.000000,0.000000,0.000000
-190.832520,-191.387329,-67.449402,-67.449417,189.700928,0.000000,0.000000,0.000000,0.000000,0.000000
-188.558350,-189.129639,-68.590858,-68.591309,187.415771,0.000000,0.000000,0.000000,0.000000,0.000000
-186.273193,-186.849976,-69.682907,-69.682159,185.097656,0.000000,0.000000,0.000000,0.000000,0.000000
-183.922119,-184.509888,-70.724747,-70.724945,182.735596,0.000000,0.000000,0.000000,0.000000,0.000000
-181.521606,-182.136841,-71.715324,-71.716698,180.269165,0.000000,0.000000,0.000000,0.000000,0.000000
-179.005737,-179.631958,-72.653816,-72.652657,177.753296,0.000000,0.000000,0.000000,0.000000,0.000000
-176.451416,-177.105103,-73.539307,-73.539726,175.144043,0.000000,0.000000,0.000000,0.000000,0.000000
-173.853149,-174.501343,-74.371010,-74.369362,172.545776,0.000000,0.000000,0.000000,0.000000,0.000000
-171.232910,-171.886597,-75.148155,-75.146530,169.909058,0.000000,0.000000,0.000000,0.000000,0.000000
-168.568726,-169.238892,-75.869934,-75.870506,167.189941,0.000000,0.000000,0.000000,0.000000,0.000000
-165.800171,-166.492310,-76.535690,-76.536659,164.415894,0.000000,0.000000,0.000000,0.000000,0.000000
-163.004150,-163.712769,-77.144745,-77.146248,161.548462,0.000000,0.000000,0.000000,0.000000,0.000000
-160.158691,-160.878296,-77.696419,-77.696732,158.692017,0.000000,0.000000,0.000000,0.000000,0.000000
-157.258301,-157.966919,-78.190201,-78.191360,155.797119,0.000000,0.000000,0.000000,0.000000,0.000000
-154.330444,-155.083008,-78.625473,-78.625671,152.792358,0.000000,0.000000,0.000000,0.000000,0.000000
-151.287231,-152.034302,-79.001770,-79.001144,149.771118,0.000000,0.000000,0.000000,0.000000,0.000000
-148.244019,-149.002075,-79.318596,-79.319199,146.727905,0.000000,0.000000,0.000000,0.000000,0.000000
-145.178833,-145.958862,-79.575554,-79.575546,143.613281,0.000000,0.000000,0.000000,0.000000,0.000000
-142.025757,-142.827759,-79.772270,-79.771729,140.399780,0.000000,0.000000,0.000000,0.000000,0.000000
-138.768311,-139.586792,-79.908386,-79.909348,137.120361,0.000000,0.000000,0.000000,0.000000,0.000000
-135.461426,-136.285400,-79.983643,-79.984222,133.802490,0.000000,0.000000,0.000000,0.000000,0.000000
-132.138062,-132.973022,-79.997780,-79.998039,130.451660,0.000000,0.000000,0.000000,0.000000,0.000000
-128.726807,-129.605713,-79.950623,-79.950592,126.979980,0.000000,0.000000,0.000000,0.000000,0.000000
-125.222168,-126.112061,-79.842003,-79.843681,123.453369,0.000000,0.000000,0.000000,0.000000,0.000000
-121.684570,-122.563477,-79.671837,-79.671326,119.899292,0.000000,0.000000,0.000000,0.000000,0.000000
-118.125000,-119.014893,-79.440063,-79.441284,116.306763,0.000000,0.000000,0.000000,0.000000,0.000000
-114.450073,-115.383911,-79.146683,-79.147682,112.593384,0.000000,0.000000,0.000000,0.000000,0.000000
-110.709229,-111.654053,-78.791733,-78.792480,108.847046,0.000000,0.000000,0.000000,0.000000,0.000000
-106.968384,-107.907715,-78.375305,-78.375793,105.100708,0.000000,0.000000,0.000000,0.000000,0.000000
-103.194580,-104.155884,-77.897552,-77.897728,101.260986,0.000000,0.000000,0.000000,0.000000,0.000000
-99.299927,-100.288696,-77.358658,-77.358467,97.333374,0.000000,0.000000,0.000000,0.000000,0.000000
-95.372314,-96.350098,-76.758858,-76.758255,93.394775,0.000000,0.000000,0.000000,0.000000,0.000000
-91.422729,-92.411499,-76.098450,-76.099297,89.412231,0.000000,0.000000,0.000000,0.000000,0.000000
-87.396240,-88.412476,-75.377769,-75.378044,85.330811,0.000000,0.000000,0.000000,0.000000,0.000000
-83.265381,-84.303589,-74.597229,-74.596779,81.194458,0.000000,0.000000,0.000000,0.000000,0.000000
-79.112549,-80.156250,-73.757225,-73.755951,77.025146,0.000000,0.000000,0.000000,0.000000,0.000000
-74.899292,-75.959473,-72.858231,-72.858032,72.778931,0.000000,0.000000,0.000000,0.000000,0.000000
-70.642090,-71.707764,-71.900879,-71.901520,68.488770,0.000000,0.000000,0.000000,0.000000,0.000000
-66.335449,-67.406616,-70.885666,-70.885078,64.154663,0.000000,0.000000,0.000000,0.000000,0.000000
-61.962891,-63.061523,-69.813263,-69.813263,59.732666,0.000000,0.000000,0.000000,0.000000,0.000000
-57.584839,-58.628540,-68.684357,-68.684769,55.338135,0.000000,0.000000,0.000000,0.000000,0.000000
-53.146362,-54.272461,-67.499710,-67.498329,50.850220,0.000000,0.000000,0.000000,0.000000,0.000000
-48.587036,-49.718628,-66.260048,-66.260605,46.312866,0.000000,0.000000,0.000000,0.000000,0.000000
-44.033203,-45.175781,-64.966217,-64.966591,41.742554,0.000000,0.000000,0.000000,0.000000,0.000000
-39.413452,-40.578003,-63.619171,-63.620071,37.051392,0.000000,0.000000,0.000000,0.000000,0.000000
