I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
87.857666,87.182007,-82.712952,-82.713493,-89.203491,0.000000,0.000000,0.000000,0.000000,0.000000
90.560303,89.873657,-81.202560,-81.201675,-91.933594,0.000000,0.000000,0.000000,0.000000,0.000000
93.246460,92.570801,-79.666901,-79.666443,-94.608765,0.000000,0.000000,0.000000,0.000000,0.000000
95.916138,95.256958,-78.106422,-78.106285,-97.289429,0.000000,0.000000,0.000000,0.000000,0.000000
98.613281,97.954102,-76.521568,-76.521584,-99.953613,0.000000,0.000000,0.000000,0.000000,0.000000
101.288452,100.623779,-74.912651,-74.912773,-102.612305,0.000000,0.000000,0.000000,0.000000,0.000000
103.930664,103.271484,-73.280174,-73.280266,-105.249023,0.000000,0.000000,0.000000,0.000000,0.000000
106.545410,105.891724,-71.624588,-71.624580,-107.863770,0.000000,0.000000,0.000000,0.000000,0.000000
109.154663,108.506470,-69.946289,-69.946114,-110.456543,0.000000,0.000000,0.000000,0.000000,0.000000
111.752930,111.104736,-68.245781,-68.245232,-113.060303,0.000000,0.000000,0.000000,0.000000,0.000000
114.373169,113.719482,-66.523491,-66.524452,-115.675049,0.000000,0.000000,0.000000,0.000000,0.000000
116.971436,116.323242,-64.779976,-64.780327,-118.267822,0.000000,0.000000,0.000000,0.000000,0.000000
119.553223,118.910522,-63.015633,-63.016273,-120.855103,0.000000,0.000000,0.000000,0.000000,0.000000
122.135010,121.486816,-61.230991,-61.230778,-123.414917,0.000000,0.000000,0.000000,0.000000,0.000000
124.716797,124.063110,-59.426510,-59.426289,-125.996704,0.000000,0.000000,0.000000,0.000000,0.000000
127.265625,126.639404,-57.602741,-57.603409,-128.545532,0.000000,0.000000,0.000000,0.000000,0.000000
129.814453,129.188232,-55.760147,-55.760601,-131.077881,0.000000,0.000000,0.000000,0.000000,0.000000
132.324829,131.704102,-53.899300,-53.898438,-133.571777,0.000000,0.000000,0.000000,0.000000,0.000000
134.813232,134.197998,-52.020729,-52.021290,-136.021729,0.000000,0.000000,0.000000,0.000000,0.000000
137.241211,136.631470,-50.124924,-50.124924,-138.460693,0.000000,0.000000,0.000000,0.000000,0.000000
139.641724,139.059448,-48.212479,-48.212605,-140.800781,0.000000,0.000000,0.000000,0.000000,0.000000
141.987305,141.394043,-46.283997,-46.284157,-143.129883,0.000000,0.000000,0.000000,0.000000,0.000000
144.250488,143.690186,-44.339821,-44.339012,-145.382080,0.000000,0.000000,0.000000,0.000000,0.000000
146.508179,145.953369,-42.380791,-42.380714,-147.590332,0.000000,0.000000,0.000000,0.000000,0.000000
148.661499,148.128662,-40.407314,-40.407822,-149.743652,0.000000,0.000000,0.000000,0.000000,0.000000
150.798340,150.276489,-38.419914,-38.419022,-151.820068,0.000000,0.000000,0.000000,0.000000,0.000000
152.847290,152.336426,-36.419395,-36.419773,-153.852539,0.000000,0.000000,0.000000,0.000000,0.000000
154.841309,154.352417,-34.406128,-34.405731,-155.813599,0.000000,0.000000,0.000000,0.000000,0.000000
156.763916,156.291504,-32.380875,-32.381454,-157.703247,0.000000,0.000000,0.000000,0.000000,0.000000
158.631592,158.164673,-30.344074,-30.344063,-159.537964,0.000000,0.000000,0.000000,0.000000,0.000000
